# L1 = 1, c = 0.5, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 33, 4.19883e-08, 3.24726e-42, 530433, 1.01257e+25, 8.16668e-06, 2.45706e-05
1.2045e-07, 34, 4.73204e-08, 1.89836e-43, 450115, 1.14099e+25, 8.82622e-06, 2.95711e-05
1.2045e-07, 35, 5.31723e-08, 1.1049e-44, 383781, 1.28127e+25, 9.51806e-06, 3.00518e-05
1.2045e-07, 36, 5.97149e-08, 6.40321e-46, 328696, 1.43409e+25, 1.02428e-05, 3.59339e-05
1.2045e-07, 37, 6.64121e-08, 3.69574e-47, 282715, 1.6002e+25, 1.10011e-05, 3.63576e-05
1.2045e-07, 38, 7.38789e-08, 2.12483e-48, 244145, 1.78033e+25, 1.17935e-05, 4.32181e-05
1.2045e-07, 39, 8.20007e-08, 1.21718e-49, 211642, 1.97527e+25, 1.26206e-05, 4.35581e-05
1.2045e-07, 40, 9.0683e-08, 6.94811e-51, 184132, 2.18578e+25, 1.34831e-05, 5.14988e-05
1.2045e-07, 41, 1.00036e-07, 3.9531e-52, 160749, 2.4127e+25, 1.43814e-05, 5.17252e-05
1.2045e-07, 42, 1.10399e-07, 2.242e-53, 140795, 2.65683e+25, 1.53162e-05, 6.08527e-05
1.2045e-07, 43, 1.20806e-07, 1.26772e-54, 123703, 2.91905e+25, 1.62881e-05, 6.09327e-05
1.2045e-07, 44, 1.32302e-07, 7.14764e-56, 109011, 3.20021e+25, 1.72977e-05, 7.13581e-05
1.2045e-07, 45, 1.44636e-07, 4.01889e-57, 96336.3, 3.5012e+25, 1.83454e-05, 7.12559e-05
1.2045e-07, 46, 1.57627e-07, 2.25375e-58, 85367.2, 3.82295e+25, 1.94319e-05, 8.30949e-05
1.2045e-07, 47, 1.71551e-07, 1.26069e-59, 75843.9, 4.16638e+25, 2.05578e-05, 8.27716e-05
1.2045e-07, 48, 1.86461e-07, 7.03501e-61, 67551.1, 4.53244e+25, 2.17236e-05, 9.61448e-05
1.2045e-07, 49, 2.02049e-07, 3.91663e-62, 60308.8, 4.92211e+25, 2.29298e-05, 9.55582e-05
1.2045e-07, 50, 2.18654e-07, 2.17568e-63, 53966.5, 5.33639e+25, 2.4177e-05, 0.00011059
1.2045e-07, 51, 2.36392e-07, 1.206e-64, 48397.6, 5.77628e+25, 2.54657e-05, 0.000109696
1.2045e-07, 52, 2.55034e-07, 6.67124e-66, 43495.2, 6.24282e+25, 2.67965e-05, 0.000126516
1.2045e-07, 53, 2.74692e-07, 3.68304e-67, 39169, 6.73706e+25, 2.817e-05, 0.000125265
1.2045e-07, 54, 2.95317e-07, 2.02945e-68, 35342.3, 7.26009e+25, 2.95866e-05, 0.000144008
1.2045e-07, 55, 3.17206e-07, 1.11622e-69, 31949.6, 7.813e+25, 3.10469e-05, 0.000142349
1.2045e-07, 56, 3.39967e-07, 6.12852e-71, 28935.2, 8.39691e+25, 3.25514e-05, 0.000163152
1.2045e-07, 57, 3.649e-07, 3.35905e-72, 26251.2, 9.01294e+25, 3.41007e-05, 0.000161032
1.2045e-07, 58, 3.89651e-07, 1.83806e-73, 23856.5, 9.66227e+25, 3.56953e-05, 0.000184037
1.2045e-07, 59, 4.1603e-07, 1.00418e-74, 21715.7, 1.03461e+26, 3.73356e-05, 0.000181398
1.2045e-07, 60, 4.4422e-07, 5.47764e-76, 19798.3, 1.10655e+26, 3.90223e-05, 0.000206753
1.2045e-07, 61, 4.74124e-07, 2.9835e-77, 18077.8, 1.18219e+26, 4.07558e-05, 0.000203535
1.2045e-07, 62, 5.04423e-07, 1.62268e-78, 16531.3, 1.26164e+26, 4.25366e-05, 0.00023139
1.2045e-07, 63, 5.35323e-07, 8.81315e-80, 15138.7, 1.34502e+26, 4.43652e-05, 0.00022753
1.2045e-07, 64, 5.68592e-07, 4.78015e-81, 13882.6, 1.43248e+26, 4.62422e-05, 0.00025804
1.2045e-07, 65, 6.0367e-07, 2.5893e-82, 12747.9, 1.52413e+26, 4.81681e-05, 0.000253471
1.2045e-07, 66, 6.39548e-07, 1.40078e-83, 11721.1, 1.6201e+26, 5.01433e-05, 0.000286795
1.2045e-07, 67, 6.77148e-07, 7.56865e-85, 10790.7, 1.72055e+26, 5.21683e-05, 0.000281448
1.2045e-07, 68, 7.16367e-07, 4.08458e-86, 9946.33, 1.82559e+26, 5.42437e-05, 0.00031775
1.2045e-07, 69, 7.57754e-07, 2.20177e-87, 9178.93, 1.93537e+26, 5.637e-05, 0.000311554
1.2045e-07, 70, 8.00234e-07, 1.1855e-88, 8480.53, 2.05003e+26, 5.85476e-05, 0.000350999
1.2045e-07, 71, 8.44388e-07, 6.37613e-90, 7844.07, 2.1697e+26, 6.0777e-05, 0.000343878
1.2045e-07, 72, 8.8973e-07, 3.42568e-91, 7263.29, 2.29455e+26, 6.30587e-05, 0.000386638
1.2045e-07, 73, 9.39647e-07, 1.83859e-92, 6732.66, 2.4247e+26, 6.53931e-05, 0.000378516
1.2045e-07, 74, 9.86396e-07, 9.85788e-94, 6247.24, 2.56032e+26, 6.77809e-05, 0.000424765
1.2045e-07, 75, 1.0382e-06, 5.28025e-95, 5802.64, 2.70155e+26, 7.02224e-05, 0.00041556
1.2045e-07, 76, 1.09122e-06, 2.82558e-96, 5394.96, 2.84853e+26, 7.27181e-05, 0.000465477
1.2045e-07, 77, 1.14523e-06, 1.51062e-97, 5020.7, 3.00144e+26, 7.52686e-05, 0.000455105
1.2045e-07, 78, 1.20191e-06, 8.0688e-99, 4676.74, 3.16043e+26, 7.78742e-05, 0.000508872
1.2045e-07, 79, 1.26372e-06, 4.30602e-100, 4360.28, 3.32564e+26, 8.05355e-05, 0.000497248
1.2045e-07, 80, 1.32321e-06, 2.29598e-101, 4068.82, 3.49725e+26, 8.32529e-05, 0.00055505
1.2045e-07, 81, 1.38533e-06, 1.22318e-102, 3800.11, 3.67542e+26, 8.60268e-05, 0.000542085
1.2045e-07, 82, 1.44997e-06, 6.51117e-104, 3552.12, 3.86031e+26, 8.88579e-05, 0.000604112
1.2045e-07, 83, 1.51566e-06, 3.46319e-105, 3323.03, 4.05209e+26, 9.17464e-05, 0.000589714
1.2045e-07, 84, 1.58388e-06, 1.84058e-106, 3111.2, 4.25093e+26, 9.46929e-05, 0.000656159
1.2045e-07, 85, 1.65592e-06, 9.77458e-108, 2915.14, 4.457e+26, 9.76979e-05, 0.000640234
1.2045e-07, 86, 1.72815e-06, 5.18701e-109, 2733.52, 4.67047e+26, 0.000100762, 0.000711293
1.2045e-07, 87, 1.80347e-06, 2.75055e-110, 2565.12, 4.89152e+26, 0.000103885, 0.000693743
1.2045e-07, 88, 1.881e-06, 1.4575e-111, 2408.85, 5.12033e+26, 0.000107068, 0.000769616
1.2045e-07, 89, 1.96079e-06, 7.71787e-113, 2263.7, 5.35707e+26, 0.000110311, 0.000750342
1.2045e-07, 90, 2.04297e-06, 4.08402e-114, 2128.78, 5.60192e+26, 0.000113615, 0.000831233
1.2045e-07, 91, 2.1371e-06, 2.15968e-115, 2003.26, 5.85508e+26, 0.00011698, 0.000810133
1.2045e-07, 92, 2.21988e-06, 1.14132e-116, 1886.39, 6.11672e+26, 0.000120407, 0.000896247
1.2045e-07, 93, 2.30628e-06, 6.0276e-118, 1777.5, 6.38703e+26, 0.000123896, 0.000873215
1.2045e-07, 94, 2.40113e-06, 3.18135e-119, 1675.95, 6.6662e+26, 0.000127447, 0.000964763
1.2045e-07, 95, 2.49256e-06, 1.67808e-120, 1581.2, 6.95443e+26, 0.000131061, 0.000939693
1.2045e-07, 96, 2.58836e-06, 8.8461e-122, 1492.7, 7.2519e+26, 0.000134739, 0.00103689
1.2045e-07, 97, 2.68737e-06, 4.66054e-123, 1410.01, 7.55882e+26, 0.00013848, 0.00100967
1.2045e-07, 98, 2.78892e-06, 2.45398e-124, 1332.67, 7.87538e+26, 0.000142286, 0.00111273
1.2045e-07, 99, 2.89268e-06, 1.2914e-125, 1260.3, 8.20178e+26, 0.000146156, 0.00108325
1.2045e-07, 100, 3.00234e-06, 6.79219e-127, 1192.52, 8.53822e+26, 0.000150092, 0.00119239
1.2045e-07, 101, 3.10993e-06, 3.57045e-128, 1129.01, 8.8849e+26, 0.000154093, 0.00116053
1.2045e-07, 102, 3.22146e-06, 1.87588e-129, 1069.46, 9.24204e+26, 0.00015816, 0.00127598
1.2045e-07, 103, 3.33853e-06, 9.8506e-131, 1013.59, 9.60984e+26, 0.000162294, 0.00124163
1.2045e-07, 104, 3.45534e-06, 5.17008e-132, 961.133, 9.98851e+26, 0.000166494, 0.0013636
1.2045e-07, 105, 3.5817e-06, 2.71215e-133, 911.855, 1.03783e+27, 0.000170762, 0.00132664
1.45083e-07, 5, 2.12361e-11, 4.73343e+13, 1.41681e+10, 3.05368e+21, 7.27884e-08, 5.65477e-08
1.45083e-07, 6, 4.56537e-11, 4.69387e+11, 5.19774e+09, 6.3321e+21, 1.12206e-07, 1.05579e-07
1.45083e-07, 7, 8.70934e-11, 4.41077e+09, 2.22642e+09, 1.1731e+22, 1.62581e-07, 1.54009e-07
1.45083e-07, 8, 1.52681e-10, 3.98005e+07, 1.0682e+09, 2.00126e+22, 2.24945e-07, 2.51793e-07
1.45083e-07, 9, 2.49813e-10, 347772, 5.58872e+08, 3.20563e+22, 3.0029e-07, 3.32623e-07
nan, nan, nan, nan, nan, nan, nan, nan
1.45083e-07, 11, 5.7817e-10, 24.6859, 1.85348e+08, 7.15342e+22, 4.93714e-07, 6.24914e-07
1.45083e-07, 12, 8.31209e-10, 0.202175, 1.14855e+08, 1.01314e+23, 6.13613e-07, 8.97425e-07
1.45083e-07, 13, 1.16028e-09, 0.0016311, 7.39534e+07, 1.39546e+23, 7.50139e-07, 1.06651e-06
1.45083e-07, 14, 1.57984e-09, 1.29643e-05, 4.91975e+07, 1.87696e+23, 9.04142e-07, 1.47335e-06
1.45083e-07, 15, 2.10174e-09, 9.55091e-08, 3.36624e+07, 2.47348e+23, 1.07645e-06, 1.69613e-06
