# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1.5, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 8, 1.20231e-10, 0.00102351, 1.28665e+09, 5.24588e+22, 2.24945e-07, 2.43836e-07
1.2045e-07, 9, 1.97132e-10, 4.18923e-07, 6.73164e+08, 8.40289e+22, 3.0029e-07, 3.23973e-07
1.2045e-07, 10, 3.06307e-10, 1.74858e-10, 3.77098e+08, 1.28073e+23, 3.89572e-07, 4.84143e-07
1.2045e-07, 11, 4.56315e-10, 7.1508e-14, 2.23252e+08, 1.87512e+23, 4.93714e-07, 6.05223e-07
1.2045e-07, 12, 6.56459e-10, 2.87531e-17, 1.38343e+08, 2.65573e+23, 6.13613e-07, 8.57305e-07
1.2045e-07, 13, 9.16236e-10, 1.14145e-20, 8.90772e+07, 3.6579e+23, 7.50139e-07, 1.02737e-06
1.2045e-07, 14, 1.24608e-09, 4.89702e-24, 5.92585e+07, 4.92006e+23, 9.04142e-07, 1.39899e-06
1.2045e-07, 15, 1.66006e-09, 1.3112e-26, 4.05465e+07, 6.48371e+23, 1.07645e-06, 1.6255e-06
1.2045e-07, 16, 2.17096e-09, 2.93795e-28, 2.84312e+07, 8.39341e+23, 1.26788e-06, 2.14713e-06
1.2045e-07, 17, 2.79063e-09, 7.4012e-30, 2.03698e+07, 1.06968e+24, 1.47921e-06, 2.43691e-06
1.2045e-07, 18, 3.53685e-09, 1.83574e-31, 1.4875e+07, 1.34446e+24, 1.71124e-06, 3.14167e-06
1.2045e-07, 19, 4.41842e-09, 4.48168e-33, 1.10487e+07, 1.66906e+24, 1.96472e-06, 3.50079e-06
1.2045e-07, 20, 5.46174e-09, 1.07861e-34, 8.3328e+06, 2.04917e+24, 2.2404e-06, 4.42432e-06
1.2045e-07, 21, 6.6727e-09, 2.56252e-36, 6.37162e+06, 2.49078e+24, 2.53903e-06, 4.85809e-06
1.2045e-07, 22, 8.07003e-09, 6.01673e-38, 4.93323e+06, 3.00019e+24, 2.86132e-06, 6.03836e-06
1.2045e-07, 23, 9.68698e-09, 1.39761e-39, 3.86325e+06, 3.58401e+24, 3.208e-06, 6.5513e-06
1.2045e-07, 24, 1.15308e-08, 3.21465e-41, 3.05699e+06, 4.24916e+24, 3.57977e-06, 8.02846e-06
1.2045e-07, 25, 1.36355e-08, 7.32729e-43, 2.44223e+06, 5.00286e+24, 3.97733e-06, 8.62433e-06
1.2045e-07, 26, 1.5981e-08, 1.65621e-44, 1.96835e+06, 5.85264e+24, 4.40136e-06, 1.04406e-05
1.2045e-07, 27, 1.86337e-08, 3.71467e-46, 1.5994e+06, 6.80634e+24, 4.85254e-06, 1.11223e-05
1.2045e-07, 28, 2.16074e-08, 8.27174e-48, 1.30945e+06, 7.8721e+24, 5.33154e-06, 1.33219e-05
1.2045e-07, 29, 2.49193e-08, 1.82961e-49, 1.07961e+06, 9.05838e+24, 5.83901e-06, 1.40916e-05
1.2045e-07, 30, 2.8595e-08, 4.02164e-51, 895963, 1.03739e+25, 6.37562e-06, 1.67204e-05
1.2045e-07, 31, 3.26378e-08, 8.78822e-53, 748114, 1.18278e+25, 6.94201e-06, 1.75795e-05
1.2045e-07, 32, 3.70819e-08, 1.90991e-54, 628250, 1.34295e+25, 7.53882e-06, 2.06852e-05
1.2045e-07, 33, 4.19883e-08, 4.12936e-56, 530433, 1.51885e+25, 8.16668e-06, 2.16344e-05
1.2045e-07, 34, 4.73204e-08, 8.88467e-58, 450115, 1.71149e+25, 8.82622e-06, 2.52662e-05
1.2045e-07, 35, 5.31723e-08, 1.90287e-59, 383781, 1.9219e+25, 9.51806e-06, 2.63053e-05
1.2045e-07, 36, 5.97149e-08, 4.05786e-61, 328696, 2.15114e+25, 1.02428e-05, 3.0514e-05
1.2045e-07, 37, 6.64121e-08, 8.618e-63, 282715, 2.4003e+25, 1.10011e-05, 3.16423e-05
1.2045e-07, 38, 7.38789e-08, 1.82318e-64, 244145, 2.6705e+25, 1.17935e-05, 3.648e-05
1.2045e-07, 39, 8.20007e-08, 3.84285e-66, 211642, 2.9629e+25, 1.26206e-05, 3.76959e-05
1.2045e-07, 40, 9.0683e-08, 8.07156e-68, 184132, 3.27868e+25, 1.34831e-05, 4.3216e-05
1.2045e-07, 41, 1.00036e-07, 1.68972e-69, 160749, 3.61904e+25, 1.43814e-05, 4.45175e-05
1.2045e-07, 42, 1.10399e-07, 3.52612e-71, 140795, 3.98525e+25, 1.53162e-05, 5.07748e-05
1.2045e-07, 43, 1.20806e-07, 7.33609e-73, 123703, 4.37857e+25, 1.62881e-05, 5.2159e-05
1.2045e-07, 44, 1.32302e-07, 1.52187e-74, 109011, 4.80031e+25, 1.72977e-05, 5.92091e-05
1.2045e-07, 45, 1.44636e-07, 3.14843e-76, 96336.3, 5.2518e+25, 1.83454e-05, 6.06727e-05
1.2045e-07, 46, 1.57627e-07, 6.49626e-78, 85367.2, 5.73442e+25, 1.94319e-05, 6.85726e-05
1.2045e-07, 47, 1.71551e-07, 1.33701e-79, 75843.9, 6.24957e+25, 2.05578e-05, 7.01116e-05
1.2045e-07, 48, 1.86461e-07, 2.74508e-81, 67551.1, 6.79866e+25, 2.17236e-05, 7.8919e-05
1.2045e-07, 49, 2.02049e-07, 5.62296e-83, 60308.8, 7.38317e+25, 2.29298e-05, 8.0529e-05
1.2045e-07, 50, 2.18654e-07, 1.14923e-84, 53966.5, 8.00458e+25, 2.4177e-05, 9.03028e-05
1.2045e-07, 51, 2.36392e-07, 2.34378e-86, 48397.6, 8.66441e+25, 2.54657e-05, 9.19786e-05
1.2045e-07, 52, 2.55034e-07, 4.77016e-88, 43495.2, 9.36422e+25, 2.67965e-05, 0.000102778
1.2045e-07, 53, 2.74692e-07, 9.68916e-90, 39169, 1.01056e+26, 2.817e-05, 0.000104514
1.2045e-07, 54, 2.95317e-07, 1.96431e-91, 35342.3, 1.08901e+26, 2.95866e-05, 0.000116401
1.2045e-07, 55, 3.17206e-07, 3.97497e-93, 31949.6, 1.17195e+26, 3.10469e-05, 0.000118191
1.2045e-07, 56, 3.39967e-07, 8.02947e-95, 28935.2, 1.25954e+26, 3.25514e-05, 0.000131225
1.2045e-07, 57, 3.649e-07, 1.61918e-96, 26251.2, 1.35194e+26, 3.41007e-05, 0.000133063
1.2045e-07, 58, 3.89651e-07, 3.25976e-98, 23856.5, 1.44934e+26, 3.56953e-05, 0.000147306
1.2045e-07, 59, 4.1603e-07, 6.55212e-100, 21715.7, 1.55191e+26, 3.73356e-05, 0.000149185
1.2045e-07, 60, 4.4422e-07, 1.31494e-101, 19798.3, 1.65983e+26, 3.90223e-05, 0.0001647
1.2045e-07, 61, 4.74124e-07, 2.63501e-103, 18077.8, 1.77328e+26, 4.07558e-05, 0.000166613
1.2045e-07, 62, 5.04423e-07, 5.27265e-105, 16531.3, 1.89245e+26, 4.25366e-05, 0.000183462
1.2045e-07, 63, 5.35323e-07, 1.05358e-106, 15138.7, 2.01753e+26, 4.43652e-05, 0.000185401
1.2045e-07, 64, 5.68592e-07, 2.1024e-108, 13882.6, 2.14871e+26, 4.62422e-05, 0.000203648
1.2045e-07, 65, 6.0367e-07, 4.18981e-110, 12747.9, 2.28619e+26, 4.81681e-05, 0.000205605
1.2045e-07, 66, 6.39548e-07, 8.33907e-112, 11721.1, 2.43016e+26, 5.01433e-05, 0.000225315
1.2045e-07, 67, 6.77148e-07, 1.65769e-113, 10790.7, 2.58082e+26, 5.21683e-05, 0.000227282
1.2045e-07, 68, 7.16367e-07, 3.2913e-115, 9946.33, 2.73838e+26, 5.42437e-05, 0.000248518
1.2045e-07, 69, 7.57754e-07, 6.52717e-117, 9178.93, 2.90305e+26, 5.637e-05, 0.000250486
1.2045e-07, 70, 8.00234e-07, 1.29298e-118, 8480.53, 3.07504e+26, 5.85476e-05, 0.000273314
1.2045e-07, 71, 8.44388e-07, 2.55845e-120, 7844.07, 3.25456e+26, 6.0777e-05, 0.000275273
1.2045e-07, 72, 8.8973e-07, 5.05706e-122, 7263.29, 3.44182e+26, 6.30587e-05, 0.000299757
1.2045e-07, 73, 9.39647e-07, 9.98545e-124, 6732.66, 3.63705e+26, 6.53931e-05, 0.0003017
1.2045e-07, 74, 9.86396e-07, 1.96968e-125, 6247.24, 3.84048e+26, 6.77809e-05, 0.000327906
1.2045e-07, 75, 1.0382e-06, 3.88147e-127, 5802.64, 4.05232e+26, 7.02224e-05, 0.000329822
1.2045e-07, 76, 1.09122e-06, 7.64152e-129, 5394.96, 4.2728e+26, 7.27181e-05, 0.000357816
1.2045e-07, 77, 1.14523e-06, 1.50299e-130, 5020.7, 4.50216e+26, 7.52686e-05, 0.000359696
1.2045e-07, 78, 1.20191e-06, 2.9535e-132, 4676.74, 4.74064e+26, 7.78742e-05, 0.000389543
1.2045e-07, 79, 1.26372e-06, 5.79871e-134, 4360.28, 4.98846e+26, 8.05355e-05, 0.000391377
1.2045e-07, 80, 1.32321e-06, 1.13749e-135, 4068.82, 5.24588e+26, 8.32529e-05, 0.000423144
1.2045e-07, 81, 1.38533e-06, 2.22946e-137, 3800.11, 5.51313e+26, 8.60268e-05, 0.000424921
1.2045e-07, 82, 1.44997e-06, 4.36609e-139, 3552.12, 5.79047e+26, 8.88579e-05, 0.000458675
