# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.001, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 69, 2.05822e-09, 2.20177e-90, 9178.77, 1.93537e+26, 5.637e-09, 1.17246e-09
1.2045e-07, 70, 2.17217e-09, 1.18551e-91, 8480.38, 2.05003e+26, 5.85476e-09, 1.21747e-09
1.2045e-07, 71, 2.27973e-09, 6.37614e-93, 7843.93, 2.1697e+26, 6.07769e-09, 1.26356e-09
1.2045e-07, 72, 2.39487e-09, 3.42569e-94, 7263.17, 2.29455e+26, 6.30586e-09, 1.31073e-09
1.2045e-07, 73, 2.51379e-09, 1.83859e-95, 6732.54, 2.4247e+26, 6.53932e-09, 1.35899e-09
1.2045e-07, 74, 2.63713e-09, 9.85789e-97, 6247.13, 2.56032e+26, 6.77809e-09, 1.40835e-09
1.2045e-07, 75, 2.76428e-09, 5.28025e-98, 5802.54, 2.70155e+26, 7.02223e-09, 1.45881e-09
1.2045e-07, 76, 2.90345e-09, 2.82559e-99, 5394.86, 2.84853e+26, 7.27181e-09, 1.5104e-09
1.2045e-07, 77, 3.03745e-09, 1.51062e-100, 5020.6, 3.00144e+26, 7.52685e-09, 1.56312e-09
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 79, 3.31557e-09, 4.30602e-103, 4360.19, 3.32564e+26, 8.05355e-09, 1.67197e-09
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 81, 3.61555e-09, 1.22319e-105, 3800.03, 3.67542e+26, 8.60269e-09, 1.78545e-09
1.2045e-07, 82, 3.77208e-09, 6.51117e-107, 3552.05, 3.86031e+26, 8.8858e-09, 1.84396e-09
1.2045e-07, 83, 3.94243e-09, 3.4632e-108, 3322.96, 4.05209e+26, 9.17463e-09, 1.90365e-09
1.2045e-07, 84, 4.1062e-09, 1.84058e-109, 3111.13, 4.25093e+26, 9.46931e-09, 1.96454e-09
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 86, 4.44473e-09, 5.18702e-112, 2733.46, 4.67047e+26, 1.00762e-08, 2.08993e-09
1.2045e-07, 87, 4.62398e-09, 2.75055e-113, 2565.07, 4.89152e+26, 1.03885e-08, 2.15447e-09
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 89, 4.99742e-09, 7.71788e-116, 2263.65, 5.35707e+26, 1.10311e-08, 2.28725e-09
1.2045e-07, 90, 5.18884e-09, 4.08403e-117, 2128.73, 5.60192e+26, 1.13615e-08, 2.35551e-09
1.2045e-07, 91, 5.41697e-09, 2.15968e-118, 2003.21, 5.85508e+26, 1.1698e-08, 2.42504e-09
1.2045e-07, 92, 5.60064e-09, 1.14132e-119, 1886.35, 6.11672e+26, 1.20407e-08, 2.49584e-09
1.2045e-07, 93, 5.80501e-09, 6.0276e-121, 1777.46, 6.38703e+26, 1.23896e-08, 2.56791e-09
1.2045e-07, 94, 6.00879e-09, 3.18135e-122, 1675.91, 6.6662e+26, 1.27447e-08, 2.64127e-09
1.2045e-07, 95, 6.22481e-09, 1.67808e-123, 1581.16, 6.95443e+26, 1.31061e-08, 2.71594e-09
1.2045e-07, 96, 6.4472e-09, 8.84611e-125, 1492.67, 7.2519e+26, 1.34739e-08, 2.79192e-09
1.2045e-07, 97, 6.67713e-09, 4.66055e-126, 1409.97, 7.55882e+26, 1.38481e-08, 2.86921e-09
1.2045e-07, 98, 6.94561e-09, 2.45398e-127, 1332.64, 7.87538e+26, 1.42286e-08, 2.94783e-09
1.2045e-07, 99, 7.14303e-09, 1.2914e-128, 1260.26, 8.20178e+26, 1.46156e-08, 3.02778e-09
1.2045e-07, 100, 8.37792e-08, 6.79219e-130, 1192.49, 8.53822e+26, 1.50092e-08, 3.10907e-09
1.2045e-07, 101, 8.51068e-08, 3.57046e-131, 1128.98, 8.8849e+26, 1.54093e-08, 3.19172e-09
1.2045e-07, 102, 8.64293e-08, 1.87589e-132, 1069.43, 9.24204e+26, 1.5816e-08, 3.27572e-09
1.2045e-07, 103, 8.77498e-08, 9.85061e-134, 1013.56, 9.60984e+26, 1.62293e-08, 3.3611e-09
1.2045e-07, 104, 8.90824e-08, 5.17008e-135, 961.107, 9.98851e+26, 1.66494e-08, 3.44788e-09
1.2045e-07, 105, 9.03996e-08, 2.71215e-136, 911.83, 1.03783e+27, 1.70761e-08, 3.53602e-09
1.45083e-07, 5, 7.7619e-14, 3.18631e+06, 1.41681e+10, 3.05368e+21, 7.27889e-12, 1.84158e-12
