LOG10_Z,LOG10_CS44,LOG10_CS66,LOG10_CS46
0.80096621439455451,-0.78217388591245274,-1.745251184797977,-1.2638484014149793
0.80376769520204383,-0.72854652919150231,-1.691099125512677,-1.2099163018349757
0.80656917600953326,-0.67486493622417743,-1.6371689147877717,-1.1555391186368373
0.80937065681702258,-0.62151034363199742,-1.583211265309568,-1.1022288601552264
0.8121721376245119,-0.56810285500892144,-1.5292930480938918,-1.0491704119811553
0.81497361843200133,-0.51566781685425644,-1.4763060952791425,-0.99595568989756889
0.81777509923949065,-0.46311955071652267,-1.423455845960524,-0.94324582199872442
0.82057658004697998,-0.4109728741582257,-1.370706326933278,-0.89120184248399015
0.82337806085446941,-0.35852183979940433,-1.3188085824361895,-0.83875585068855529
0.82617954166195873,-0.30700968749665369,-1.2662546519997635,-0.78613597962628434
