# L1 = 1.5, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 88, 1.04779e-06, 1.21005e-111, 6528.34, 8.94792e+26, 0.000107068, 0.000832532
1e-07, 89, 1.09337e-06, 6.40751e-113, 6134.97, 9.36163e+26, 0.000110311, 0.000801537
1e-07, 90, 1.14021e-06, 3.39063e-114, 5769.31, 9.78952e+26, 0.000113615, 0.00090018
1e-07, 91, 1.18878e-06, 1.793e-115, 5429.13, 1.02319e+27, 0.00011698, 0.000866313
1e-07, 92, 1.23862e-06, 9.4754e-117, 5112.4, 1.06891e+27, 0.000120407, 0.000971649
1e-07, 93, 1.29451e-06, 5.00422e-118, 4817.28, 1.11615e+27, 0.000123896, 0.000934741
1e-07, 94, 1.34252e-06, 2.64121e-119, 4542.08, 1.16494e+27, 0.000127447, 0.00104706
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 96, 1.45548e-06, 7.34419e-122, 4045.45, 1.26729e+27, 0.000134739, 0.00112655
1e-07, 97, 1.51196e-06, 3.86927e-123, 3821.33, 1.32093e+27, 0.00013848, 0.00108303
1e-07, 98, 1.57008e-06, 2.03734e-124, 3611.73, 1.37624e+27, 0.000142286, 0.00121023
1e-07, 99, 1.62883e-06, 1.07214e-125, 3415.59, 1.43328e+27, 0.000146156, 0.00116313
1e-07, 100, 1.69639e-06, 5.63899e-127, 3231.91, 1.49208e+27, 0.000150092, 0.00129823
1e-07, 101, 1.75374e-06, 2.96425e-128, 3059.79, 1.55266e+27, 0.000154093, 0.00124736
1e-07, 102, 1.81886e-06, 1.55739e-129, 2898.4, 1.61507e+27, 0.00015816, 0.00139069
1e-07, 103, 1.8889e-06, 8.17814e-131, 2746.98, 1.67935e+27, 0.000162294, 0.00133586
1e-07, 104, 1.95478e-06, 4.29229e-132, 2604.81, 1.74552e+27, 0.000166494, 0.00148772
1e-07, 105, 2.02563e-06, 2.25167e-133, 2471.26, 1.81363e+27, 0.000170762, 0.00142874
1.2045e-07, 5, 1.05458e-11, 4.62678e+11, 3.83974e+10, 5.33639e+21, 7.27884e-08, 5.70008e-08
